updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,BAGBY,LAMONT,,,Democratic,Richmond,301 - THREE HUNDRED ONE,ocd-division/country:us/state:va/place:richmond/precinct:301_-_three_hundred_one,49,,,,False,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,LAMBERT,DAVID,,MORRIS,Independent,Richmond,301 - THREE HUNDRED ONE,ocd-division/country:us/state:va/place:richmond/precinct:301_-_three_hundred_one,9,,,,False,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,WRITE IN VOTES,,,,,Richmond,301 - THREE HUNDRED ONE,ocd-division/country:us/state:va/place:richmond/precinct:301_-_three_hundred_one,,,,,True,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,BAGBY,LAMONT,,,Democratic,Richmond,## Provisional,ocd-division/country:us/state:va/place:richmond,,,,,False,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,LAMBERT,DAVID,,MORRIS,Independent,Richmond,## Provisional,ocd-division/country:us/state:va/place:richmond,,,,,False,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,WRITE IN VOTES,,,,,Richmond,## Provisional,ocd-division/country:us/state:va/place:richmond,,,,,True,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,BAGBY,LAMONT,,,Democratic,Richmond,# AB - Central Absentee Precinct,ocd-division/country:us/state:va/place:richmond,1,,,,False,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,LAMBERT,DAVID,,MORRIS,Independent,Richmond,# AB - Central Absentee Precinct,ocd-division/country:us/state:va/place:richmond,,,,,False,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,WRITE IN VOTES,,,,,Richmond,# AB - Central Absentee Precinct,ocd-division/country:us/state:va/place:richmond,,,,,True,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,BAGBY,LAMONT,,,Democratic,Henrico,513 - PLEASANTS,ocd-division/country:us/state:va/county:henrico/precinct:513_-_pleasants,109,,,,False,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,LAMBERT,DAVID,,MORRIS,Independent,Henrico,513 - PLEASANTS,ocd-division/country:us/state:va/county:henrico/precinct:513_-_pleasants,23,,,,False,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,WRITE IN VOTES,,,,,Henrico,513 - PLEASANTS,ocd-division/country:us/state:va/county:henrico/precinct:513_-_pleasants,0,,,,True,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,BAGBY,LAMONT,,,Democratic,Henrico,512 - NINE MILE,ocd-division/country:us/state:va/county:henrico/precinct:512_-_nine_mile,12,,,,False,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,LAMBERT,DAVID,,MORRIS,Independent,Henrico,512 - NINE MILE,ocd-division/country:us/state:va/county:henrico/precinct:512_-_nine_mile,5,,,,False,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,WRITE IN VOTES,,,,,Henrico,512 - NINE MILE,ocd-division/country:us/state:va/county:henrico/precinct:512_-_nine_mile,0,,,,True,2015
2015-10-12 16:23:06.043000,va-2015-07-21-special-general,2015-07-21 00:00:00,2015-07-21 00:00:00,general,certified,True,State House,074,,BAGBY,LAMONT,,,Democratic,Henrico,509 - LABURNUM,ocd-division/country:us/state:va/county:henrico/precinct:509_-_laburnum,55,,,,False,2015
